device_id,device_type
653,Smartphone
653,Smartphone
214,Smartphone
214,Smartphone
214,Smartphone
214,Smartphone
214,Smartphone
214,Smartphone
214,Smartphone
214,Smartphone
89,Smartphone
89,Smartphone
89,Smartphone
89,Smartphone
89,Smartphone
89,Smartphone
89,Smartphone
89,Smartphone
342,Smartphone
342,Smartphone
342,Smartphone
342,Smartphone
342,Smartphone
342,Smartphone
342,Smartphone
342,Smartphone
380,Smartphone
380,Smartphone
380,Smartphone
380,Smartphone
380,Smartphone
380,Smartphone
380,Smartphone
380,Smartphone
43,Smartphone
43,Smartphone
43,Smartphone
43,Smartphone
43,Smartphone
43,Smartphone
43,Smartphone
43,Smartphone
75,Smartphone
75,Smartphone
75,Smartphone
75,Smartphone
75,Smartphone
75,Smartphone
75,Smartphone
75,Smartphone
146,Smartphone
146,Smartphone
146,Smartphone
146,Smartphone
146,Smartphone
146,Smartphone
146,Smartphone
146,Smartphone
221,Smartphone
221,Smartphone
221,Smartphone
221,Smartphone
221,Smartphone
221,Smartphone
221,Smartphone
221,Smartphone
164,Smartphone
164,Smartphone
164,Smartphone
164,Smartphone
164,Smartphone
164,Smartphone
164,Smartphone
608,Smartphone
608,Smartphone
608,Smartphone
608,Smartphone
608,Smartphone
608,Smartphone
608,Smartphone
260,Smartphone
260,Smartphone
260,Smartphone
260,Smartphone
260,Smartphone
260,Smartphone
260,Smartphone
546,Smartphone
546,Smartphone
546,Smartphone
546,Smartphone
546,Smartphone
546,Smartphone
546,Smartphone
136,Smartphone
136,Smartphone
136,Smartphone
136,Smartphone
136,Smartphone
136,Smartphone
136,Smartphone
209,Smartphone
209,Smartphone
209,Smartphone
209,Smartphone
209,Smartphone
209,Smartphone
209,Smartphone
303,Smartphone
303,Smartphone
303,Smartphone
303,Smartphone
303,Smartphone
303,Smartphone
303,Smartphone
255,Smartphone
255,Smartphone
255,Smartphone
255,Smartphone
255,Smartphone
255,Smartphone
255,Smartphone
36,Smartphone
36,Smartphone
36,Smartphone
36,Smartphone
36,Smartphone
36,Smartphone
36,Smartphone
524,Smartphone
524,Smartphone
524,Smartphone
524,Smartphone
524,Smartphone
524,Smartphone
524,Smartphone
293,Smartphone
293,Smartphone
293,Smartphone
293,Smartphone
293,Smartphone
293,Smartphone
293,Smartphone
433,Smartphone
433,Smartphone
433,Smartphone
433,Smartphone
433,Smartphone
433,Smartphone
433,Smartphone
510,Smartphone
510,Smartphone
510,Smartphone
510,Smartphone
510,Smartphone
510,Smartphone
510,Smartphone
398,Smartphone
398,Smartphone
398,Smartphone
398,Smartphone
398,Smartphone
398,Smartphone
398,Smartphone
283,Smartphone
283,Smartphone
283,Smartphone
283,Smartphone
283,Smartphone
