SKU	            Device_Type
O-APSIP7XXG90	Smartphone
O-APSIP7XXG91	Smartphone
O-APSIP7XXG92	Smartphone
O-APSIP7XXG93	Smartphone
O-APSIP7XXG94	Smartphone
O-APSIP8PLD05	Smartphone
O-APSIP8PLD0	Smartphone
O-APSIP8PLF31	Smartphone
O-APSIP8PLF32	Smartphone
O-APSIP8PLG00	Smartphone
O-APSIP8PLG12	Smartphone
O-APSIP8PLG1	Smartphone
O-APSIP8PLG20	Smartphone
O-APSIP8PLG3	Smartphone
O-APSIP8PLG4	Smartphone
O-APSIP8PLG5	Smartphone
O-APSIP8PLG77	Smartphone
O-APSIP8PLG81	Smartphone
O-APSIP8PLG82	Smartphone
O-APSIP8PLG83	Smartphone
O-APSIP8PLG84	Smartphone
O-APSIP8PLG90	Smartphone
O-APSIP8PLG91	Smartphone
O-APSIP8PLG92	Smartphone
O-APSIP8PLG93	Smartphone
O-APSIP8PLG94	Smartphone
O-APSIP8XXD05	Smartphone
O-APSIP8XXD0	Smartphone
O-APSIP8XXF31	Smartphone
O-APSIP8XXF32	Smartphone
O-APSIP8XXG00	Smartphone
O-APSIP8XXG12	Smartphone
O-APSIP8XXG1	Smartphone
O-APSIP8XXG20	Smartphone
O-APSIP8XXG3	Smartphone
O-APSIP8XXG4	Smartphone
O-APSIP8XXG5	Smartphone
O-APSIP8XXG77	Smartphone
O-APSIP8XXG81	Smartphone
O-APSIP8XXG82	Smartphone
O-APSIP8XXG83	Smartphone
O-APSIP8XXG84	Smartphone
O-APSIP8XXG90	Smartphone
O-APSIP8XXG91	Smartphone
O-APSIP8XXG92	Smartphone
O-APSIP8XXG93	Smartphone
O-APSIP8XXG94	Smartphone
O-APSIPSEXD05	Smartphone
O-APSIPSEXD0	Smartphone
O-APSIPSEXF30	Smartphone
O-APSIPSEXF31	Smartphone
O-APSIPSEXF32	Smartphone
O-APSIPSEXG00	Smartphone
O-APSIPSEXG12	Smartphone
O-APSIPSEXG1	Smartphone
O-APSIPSEXG20	Smartphone
O-APSIPSEXG3	Smartphone
O-APSIPSEXG4	Smartphone
O-APSIPSEXG5	Smartphone
O-APSIPSEXG77	Smartphone
O-APSIPSEXG81	Smartphone
O-APSIPSEXG82	Smartphone
O-APSIPSEXG83	Smartphone
O-APSIPSEXG84	Smartphone
O-APSIPSEXG90	Smartphone
O-APSIPSEXG91	Smartphone
O-APSIPSEXG92	Smartphone
O-APSIPSEXG93	Smartphone
O-APSIPSEXG94	Smartphone
O-APSIPXRXD05	Smartphone
O-APSIPXSMD05	Smartphone
O-APSIPXSMG00	Smartphone
O-APSIPXSMG12	Smartphone
O-APSIPXSMG1	Smartphone
O-APSIPXSMG20	Smartphone
O-APSIPXSMG3	Smartphone
O-APSIPXSMG4	Smartphone
O-APSIPXSMG5	Smartphone
O-APSIPXSMG77	Smartphone
O-APSIPXSMG82	Smartphone
O-APSIPXSMG84	Smartphone
O-APSIPXSXD05	Smartphone
O-APSIPXSXG00	Smartphone
O-APSIPXSXG12	Smartphone
O-APSIPXSXG1	Smartphone
O-APSIPXSXG20	Smartphone
O-APSIPXSXG3	Smartphone
O-APSIPXSXG4	Smartphone
O-APSIPXSXG5	Smartphone
O-APSIPXSXG77	Smartphone
O-APSIPXSXG82	Smartphone
O-APSIPXSXG84	Smartphone
O-BBSB9900D0	Smartphone
O-BBSB9900G00	Smartphone
O-BBSB9900G12	Smartphone
O-BBSB9900G1	Smartphone
O-BBSB9900G20	Smartphone
O-BBSB9900G3	Smartphone
O-BBSB9900G4	Smartphone
O-BBSB9900G5	Smartphone
O-BBSB9900G77	Smartphone
O-BBSBBKOXD0	Smartphone
O-BBSBBKOXG00	Smartphone
O-BBSBBMDXD0	Smartphone
O-BBSBBPRID0	Smartphone
O-BBSBBPRIG00	Smartphone
O-BBSBBPRIG12	Smartphone
O-BBSBBPRIG1	Smartphone
O-BBSBBPRIG20	Smartphone
O-BBSBBPRIG3	Smartphone
O-BBSBBPRIG4	Smartphone
O-BBSBBPRIG5	Smartphone
O-BBSBBPRIG77	Smartphone
O-BBSCQ20XD0	Smartphone
O-BBSCQ20XG00	Smartphone
O-BBSCQ20XG12	Smartphone
O-BBSCQ20XG1	Smartphone
O-BBSCQ20XG20	Smartphone
O-BBSCQ20XG3	Smartphone
O-BBSCQ20XG4	Smartphone
O-BBSCQ20XG5	Smartphone
O-BBSCQ20XG77	Smartphone
O-BBSLZ20XD0	Smartphone
O-BBSLZ20XG00	Smartphone
O-BBSLZ20XG12	Smartphone
O-BBSLZ20XG1	Smartphone
O-BBSLZ20XG20	Smartphone
O-BBSLZ20XG3	Smartphone
O-BBSLZ20XG4	Smartphone
O-BBSLZ20XG5	Smartphone
O-BBSLZ20XG77	Smartphone
O-BBSP9981D0	Smartphone
O-BBSP9981G00	Smartphone
O-BBSP9981G12	Smartphone
O-BBSP9981G1	Smartphone
O-BBSP9981G20	Smartphone
O-BBSP9981G3	Smartphone
O-BBSP9981G4	Smartphone
O-BBSP9981G5	Smartphone
O-BBSP9981G77	Smartphone
O-BBSP9983D0	Smartphone
O-BBSP9983G00	Smartphone
O-BBSP9983G12	Smartphone
O-BBSP9983G1	Smartphone
O-BBSP9983G20	Smartphone
O-BBSP9983G3	Smartphone
O-BBSP9983G4	Smartphone
O-BBSP9983G5	Smartphone
O-BBSP9983G77	Smartphone
O-BBSPPQ30D0	Smartphone
O-BBSPPQ30G00	Smartphone
O-BBSPPQ30G12	Smartphone
O-BBSPPQ30G1	Smartphone
O-BBSPPQ30G20	Smartphone
O-BBSPPQ30G3	Smartphone
O-BBSPPQ30G4	Smartphone
O-BBSPPQ30G5	Smartphone
O-BBSPPQ30G77	Smartphone
O-BBSPPXXXD0	Smartphone
O-BBSPPXXXG00	Smartphone
O-BBSPPXXXG12	Smartphone
O-BBSPPXXXG1	Smartphone
O-BBSPPXXXG20	Smartphone
O-BBSPPXXXG3	Smartphone
O-BBSPPXXXG4	Smartphone
O-BBSPPXXXG5	Smartphone
O-BBSPPXXXG77	Smartphone
O-BBSQ10XXD0	Smartphone
O-BBSQ10XXG00	Smartphone
O-BBSQ10XXG12	Smartphone
O-BBSQ10XXG1	Smartphone
O-BBSQ10XXG20	Smartphone
O-BBSQ10XXG3	Smartphone
O-BBSQ10XXG4	Smartphone
O-BBSQ10XXG5	Smartphone
O-BBSQ10XXG77	Smartphone
O-BBSZ10XXD0	Smartphone
O-BBSZ10XXG00	Smartphone
O-BBSZ10XXG12	Smartphone
O-BBSZ10XXG1	Smartphone
O-BBSZ10XXG20	Smartphone
O-BBSZ10XXG3	Smartphone
O-BBSZ10XXG4	Smartphone
O-BBSZ10XXG5	Smartphone
O-BBSZ10XXG77	Smartphone
O-BBSZ30XXD0	Smartphone
O-BBSZ30XXG00	Smartphone
O-BBSZ30XXG12	Smartphone
O-BBSZ30XXG1	Smartphone
O-BBSZ30XXG20	Smartphone
O-BBSZ30XXG3	Smartphone
O-BBSZ30XXG4	Smartphone
O-BBSZ30XXG5	Smartphone
O-BBSZ30XXG77	Smartphone
O-HTSDSEXXG00	Smartphone
O-HTSDSEXXG12	Smartphone
O-HTSDSEXXG1	Smartphone
O-HTSDSEXXG20	Smartphone
O-HTSDSEXXG3	Smartphone
O-HTSDSEXXG4	Smartphone
O-HTSDSEXXG5	Smartphone
O-HTSDSEXXG77	Smartphone
O-HTSGP2XLD0	Smartphone
O-HTSGP2XLG00	Smartphone
O-HTSGP2XLG12	Smartphone
O-HTSGP2XLG1	Smartphone
O-HTSGP2XLG20	Smartphone
O-HTSGP2XLG3	Smartphone
O-HTSGP2XLG4	Smartphone
O-HTSGP2XLG5	Smartphone
O-HTSGP2XLG77	Smartphone
O-HTSGP2XLG82	Smartphone
O-HTSGP2XLG83	Smartphone
O-HTSGP2XXD0	Smartphone
O-HTSGP2XXG00	Smartphone
O-HTSGP2XXG12	Smartphone
O-HTSGP2XXG1	Smartphone
O-HTSGP2XXG20	Smartphone
O-HTSGP2XXG3	Smartphone
O-HTSGP2XXG4	Smartphone
O-HTSGP2XXG5	Smartphone
O-HTSGP2XXG77	Smartphone
O-HTSGP2XXG82	Smartphone
O-HTSGP2XXG83	Smartphone
O-HTSGP3XLD0	Smartphone
O-HTSGP3XLG00	Smartphone
O-HTSGP3XLG12	Smartphone
O-HTSGP3XLG1	Smartphone
O-HTSGP3XLG20	Smartphone
O-HTSGP3XLG3	Smartphone
O-HTSGP3XLG4	Smartphone
O-HTSGP3XLG5	Smartphone
O-HTSGP3XLG77	Smartphone
O-HTSGP3XLG82	Smartphone
O-HTSGP3XLG83	Smartphone
O-HTSGP3XXD0	Smartphone
O-HTSGP3XXG00	Smartphone
O-HTSGP3XXG12	Smartphone
O-HTSGP3XXG1	Smartphone
O-HTSGP3XXG20	Smartphone
O-HTSGP3XXG3	Smartphone
O-HTSGP3XXG4	Smartphone
O-HTSGP3XXG5	Smartphone
O-HTSGP3XXG77	Smartphone
O-HTSGP3XXG82	Smartphone
O-HTSGP3XXG83	Smartphone
O-HTSGPXLXD0	Smartphone
O-HTSGPXLXG00	Smartphone
O-HTSGPXLXG12	Smartphone
O-HTSGPXLXG1	Smartphone
O-HTSGPXLXG20	Smartphone
O-HTSGPXLXG3	Smartphone
O-HTSGPXLXG4	Smartphone
O-HTSGPXLXG5	Smartphone
O-HTSGPXLXG77	Smartphone
O-HTSGPXLXG82	Smartphone
O-HTSGPXLXG83	Smartphone
O-HTSGPXXXD0	Smartphone
O-HTSGPXXXG00	Smartphone
O-HTSGPXXXG12	Smartphone
O-HTSGPXXXG1	Smartphone
O-HTSGPXXXG20	Smartphone
O-HTSGPXXXG3	Smartphone
O-HTSGPXXXG4	Smartphone
O-HTSGPXXXG5	Smartphone
O-HTSGPXXXG77	Smartphone
O-HTSGPXXXG82	Smartphone
O-HTSGPXXXG83	Smartphone
O-HTSHTC8XD0	Smartphone
O-HTSHTC8XG00	Smartphone
O-HTSHTC8XG12	Smartphone
O-HTSHTC8XG1	Smartphone
O-HTSHTC8XG20	Smartphone
O-HTSHTC8XG3	Smartphone
O-HTSHTC8XG4	Smartphone
O-HTSHTC8XG5	Smartphone
O-HTSHTC8XG77	Smartphone
O-HTSHTC8XG82	Smartphone
O-HTSHTC8XG83	Smartphone
O-HTSHTCOXD0	Smartphone
O-HTSHTCOXG00	Smartphone
O-HTSHTCOXG12	Smartphone
O-HTSHTCOXG1	Smartphone
O-HTSHTCOXG20	Smartphone
O-HTSHTCOXG3	Smartphone
O-HTSHTCOXG4	Smartphone
O-HTSHTCOXG5	Smartphone
O-HTSHTCOXG77	Smartphone
O-HTSHTCOXG82	Smartphone
O-HTSHTCOXG83	Smartphone
O-HTSHTCUXD0	Smartphone
O-HTSHTCUXG00	Smartphone
O-HTSHTCUXG12	Smartphone
O-HTSHTCUXG1	Smartphone
O-HTSHTCUXG20	Smartphone
O-HTSHTCUXG3	Smartphone
O-HTSHTCUXG4	Smartphone
O-HTSHTCUXG5	Smartphone
O-HTSHTCUXG77	Smartphone
O-HTSHTCUXG82	Smartphone
O-HTSHTCUXG83	Smartphone
O-HTSOA9SXD0	Smartphone
O-HTSOA9SXG00	Smartphone
O-HTSOA9SXG12	Smartphone
O-HTSOA9SXG1	Smartphone
O-HTSOA9SXG20	Smartphone
O-HTSOA9SXG3	Smartphone
O-HTSOA9SXG4	Smartphone
O-HTSOA9SXG5	Smartphone
O-HTSOA9SXG77	Smartphone
O-HTSOA9SXG82	Smartphone
O-HTSOA9SXG83	Smartphone
O-HTSOA9XXD0	Smartphone
O-HTSOA9XXG00	Smartphone
O-HTSOA9XXG12	Smartphone
O-HTSOA9XXG1	Smartphone
O-HTSOA9XXG20	Smartphone
O-HTSOA9XXG3	Smartphone
O-HTSOA9XXG4	Smartphone
O-HTSOA9XXG5	Smartphone
O-HTSOA9XXG77	Smartphone
O-HTSOA9XXG82	Smartphone
O-HTSOA9XXG83	Smartphone
O-HTSOE8XXD0	Smartphone
O-HTSOE8XXG82	Smartphone
O-HTSOE8XXG83	Smartphone
O-HTSU11LXD0	Smartphone
O-HTSU11LXG00	Smartphone
O-HTSU11LXG12	Smartphone
O-HTSU11LXG1	Smartphone
O-HTSU11LXG20	Smartphone
O-HTSU11LXG3	Smartphone
O-HTSU11LXG4	Smartphone
O-HTSU11LXG5	Smartphone
O-HTSU11LXG77	Smartphone
O-HTSU11LXG82	Smartphone
O-HTSU11LXG83	Smartphone
O-HTSU11XXD0	Smartphone
O-HTSU11XXG00	Smartphone
O-HTSU11XXG12	Smartphone
O-HTSU11XXG1	Smartphone
O-HTSU11XXG20	Smartphone
O-HTSU11XXG3	Smartphone
O-HTSU11XXG4	Smartphone
O-HTSU11XXG5	Smartphone
O-HTSU11XXG77	Smartphone
O-HTSU11XXG82	Smartphone
O-HTSU11XXG83	Smartphone
O-HUSAM7XXD0	Smartphone
O-HUSAM7XXG00	Smartphone
O-HUSAM7XXG12	Smartphone
O-HUSAM7XXG1	Smartphone
O-HUSAM7XXG20	Smartphone
O-HUSAM7XXG3	Smartphone
O-HUSAM7XXG4	Smartphone
O-HUSAM7XXG5	Smartphone
O-HUSAM7XXG77	Smartphone
O-HUSAMSXXD0	Smartphone
O-HUSAMSXXG00	Smartphone
O-HUSAMSXXG12	Smartphone
O-HUSAMSXXG1	Smartphone
O-HUSAMSXXG20	Smartphone
O-HUSAMSXXG3	Smartphone
O-HUSAMSXXG4	Smartphone
O-HUSAMSXXG5	Smartphone
O-HUSAMSXXG77	Smartphone
O-HUSAMXXXD0	Smartphone
O-HUSAMXXXG00	Smartphone
O-HUSAMXXXG12	Smartphone
O-HUSAMXXXG1	Smartphone
O-HUSAMXXXG20	Smartphone
O-HUSAMXXXG3	Smartphone
O-HUSAMXXXG4	Smartphone
O-HUSAMXXXG5	Smartphone
O-HUSAMXXXG77	Smartphone
O-HUSAP6XXD0	Smartphone
O-HUSAP6XXG00	Smartphone
O-HUSAP6XXG12	Smartphone
